,0,1,2,3,4,5,6,7,8,9,10
0,46.0,38.0,44.0,45.0,42.0,44.0,45.0,43.0,41.0,42.0,36.0
1,46.0,36.0,42.0,43.0,42.0,43.0,44.0,44.0,39.0,43.0,32.0
2,45.0,35.0,40.0,41.0,40.0,42.0,41.0,42.0,36.0,43.0,31.0
3,41.0,30.0,36.0,37.0,39.0,38.0,40.0,34.0,35.0,39.0,30.0
4,39.0,30.0,34.0,33.0,40.0,38.0,35.0,30.0,33.0,35.0,34.0
5,35.0,29.0,32.0,32.0,41.0,37.0,35.0,35.0,36.0,35.0,35.0
6,33.0,28.0,30.0,30.0,38.0,36.0,33.0,34.0,32.0,33.0,32.0
7,33.0,28.0,30.0,29.0,33.0,36.0,30.0,33.0,31.0,33.0,30.0
8,36.0,28.0,30.0,30.0,36.0,38.0,31.0,34.0,31.0,35.0,28.0
9,47.0,33.0,32.0,41.0,43.0,44.0,39.0,41.0,35.0,42.0,30.0
10,53.0,42.0,44.0,49.0,47.0,52.0,44.0,48.0,40.0,51.0,35.0
11,54.0,47.0,49.0,54.0,50.0,55.0,51.0,54.0,47.0,55.0,41.0
12,55.0,52.0,51.0,58.0,51.0,58.0,55.0,58.0,52.0,59.0,47.0
13,55.0,54.0,52.0,59.0,51.0,60.0,56.0,60.0,55.0,60.0,51.0
14,55.0,55.0,52.0,60.0,52.0,60.0,59.0,61.0,56.0,61.0,53.0
15,55.0,56.0,52.0,60.0,51.0,60.0,60.0,62.0,56.0,62.0,54.0
16,52.0,56.0,51.0,57.0,50.0,59.0,56.0,60.0,55.0,59.0,54.0
17,46.0,52.0,48.0,51.0,47.0,53.0,51.0,53.0,48.0,53.0,53.0
18,40.0,47.0,45.0,46.0,39.0,46.0,46.0,43.0,44.0,46.0,50.0
19,40.0,46.0,35.0,43.0,39.0,44.0,42.0,37.0,38.0,43.0,50.0
20,39.0,46.0,34.0,40.0,34.0,45.0,40.0,36.0,37.0,44.0,48.0
21,38.0,45.0,30.0,37.0,33.0,43.0,38.0,36.0,37.0,42.0,47.0
22,40.0,46.0,30.0,39.0,31.0,43.0,41.0,43.0,37.0,44.0,45.0
23,41.0,46.0,30.0,42.0,33.0,45.0,41.0,44.0,38.0,46.0,41.0
24,43.0,45.0,32.0,42.0,36.0,46.0,41.0,45.0,40.0,47.0,40.0
25,44.0,44.0,33.0,44.0,36.0,47.0,42.0,46.0,41.0,48.0,39.0
26,46.0,44.0,35.0,45.0,40.0,47.0,43.0,46.0,42.0,48.0,42.0
27,46.0,45.0,39.0,45.0,42.0,46.0,45.0,46.0,44.0,48.0,42.0
28,47.0,45.0,41.0,46.0,42.0,47.0,46.0,46.0,44.0,47.0,45.0
29,47.0,44.0,42.0,46.0,43.0,45.0,46.0,45.0,44.0,46.0,46.0
30,47.0,43.0,42.0,48.0,45.0,44.0,47.0,46.0,44.0,47.0,46.0
31,47.0,43.0,43.0,48.0,44.0,44.0,45.0,48.0,41.0,46.0,47.0
32,47.0,46.0,43.0,49.0,43.0,46.0,43.0,47.0,43.0,46.0,47.0
33,47.0,48.0,43.0,50.0,42.0,48.0,44.0,46.0,43.0,47.0,47.0
34,47.0,48.0,44.0,53.0,44.0,49.0,46.0,47.0,45.0,49.0,50.0
35,49.0,50.0,44.0,55.0,44.0,52.0,48.0,53.0,45.0,52.0,51.0
36,52.0,51.0,45.0,57.0,45.0,54.0,50.0,51.0,48.0,53.0,52.0
37,56.0,52.0,46.0,58.0,47.0,56.0,53.0,52.0,52.0,55.0,54.0
38,54.0,53.0,47.0,60.0,48.0,59.0,54.0,54.0,54.0,58.0,55.0
39,56.0,55.0,49.0,62.0,49.0,61.0,55.0,57.0,55.0,58.0,57.0
40,57.0,56.0,49.0,61.0,49.0,60.0,55.0,58.0,56.0,58.0,59.0
41,53.0,54.0,47.0,54.0,46.0,58.0,52.0,52.0,53.0,56.0,56.0
42,50.0,53.0,45.0,50.0,42.0,55.0,49.0,47.0,47.0,52.0,53.0
43,47.0,52.0,42.0,46.0,42.0,53.0,47.0,44.0,49.0,50.0,53.0
44,46.0,51.0,41.0,48.0,42.0,51.0,45.0,42.0,45.0,48.0,51.0
45,45.0,49.0,41.0,48.0,41.0,49.0,46.0,43.0,44.0,47.0,46.0
46,45.0,51.0,41.0,48.0,42.0,50.0,45.0,43.0,45.0,48.0,50.0
47,45.0,50.0,38.0,48.0,39.0,50.0,45.0,47.0,44.0,49.0,50.0
48,45.0,47.0,41.0,48.0,41.0,47.0,45.0,47.0,45.0,48.0,50.0
49,46.0,50.0,40.0,48.0,41.0,50.0,46.0,47.0,45.0,49.0,53.0
50,46.0,49.0,42.0,47.0,43.0,48.0,44.0,42.0,45.0,46.0,52.0
51,44.0,50.0,42.0,49.0,43.0,47.0,44.0,41.0,45.0,46.0,52.0
52,43.0,48.0,43.0,49.0,45.0,44.0,44.0,42.0,45.0,44.0,54.0
53,46.0,46.0,45.0,49.0,45.0,42.0,43.0,41.0,45.0,41.0,55.0
54,46.0,50.0,41.0,49.0,46.0,44.0,42.0,41.0,45.0,43.0,56.0
55,47.0,48.0,45.0,49.0,45.0,42.0,42.0,47.0,45.0,44.0,56.0
56,51.0,50.0,46.0,50.0,45.0,44.0,45.0,48.0,46.0,46.0,54.0
57,55.0,52.0,48.0,53.0,49.0,51.0,50.0,53.0,49.0,51.0,57.0
58,56.0,57.0,51.0,59.0,52.0,57.0,56.0,58.0,56.0,58.0,62.0
59,59.0,62.0,53.0,63.0,57.0,62.0,62.0,63.0,62.0,63.0,65.0
60,65.0,65.0,58.0,70.0,62.0,68.0,69.0,69.0,66.0,68.0,67.0
61,68.0,68.0,62.0,72.0,65.0,71.0,71.0,72.0,69.0,71.0,69.0
62,69.0,69.0,66.0,73.0,67.0,72.0,73.0,73.0,71.0,73.0,70.0
63,68.0,69.0,68.0,73.0,67.0,72.0,73.0,73.0,72.0,73.0,70.0
64,68.0,68.0,63.0,72.0,63.0,71.0,73.0,72.0,71.0,72.0,70.0
65,65.0,65.0,64.0,68.0,61.0,66.0,68.0,68.0,69.0,67.0,70.0
66,64.0,63.0,59.0,65.0,58.0,63.0,64.0,64.0,66.0,64.0,68.0
67,63.0,62.0,58.0,63.0,56.0,62.0,65.0,63.0,65.0,62.0,65.0
68,62.0,60.0,59.0,62.0,58.0,60.0,65.0,61.0,64.0,61.0,63.0
